key,code,details,difficulty-level,creation-moment,update-moment,link,estimated-total-time,published,key:project,key:developer
module-01,ABC-123,This is a test text,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.es,20,false,project-01,developer-01
module-02,XYZ-123,السلام عليكم ورحمة الله وبركاته. كيف حالكم اليوم؟,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.es,20,false,project-01,developer-01
module-03,DEF-789,Привет! Как дела? Надеюсь у тебя всё хорошо.,BASIC,2020/04/04 14:35,2020/04/19 14:54, https://example.es,20,false,project-01,developer-01
module-04,WXY-234,你好！今天天气很好 你想做些什么？,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.es,20,false,project-01,developer-01
module-05,GHI-345,こんにちは。今日はいい天気ですね。一緒にお出かけしませんか？,BASIC,2020/04/04 14:35,2020/04/19 14:54, https://example.es,20,false,project-01,developer-01
module-06,RST-121,T,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.es,20,false,project-01,developer-01
module-07,RST-122,Th,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.es,20,false,project-01,developer-01
module-08,RST-123,Lorem ipsum dolor sit amets consectetur adipiscing elit.,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.es,20,false,project-01,developer-01
module-09,RST-124,The quick brown fox jumps over the lazy dog. Lorem ipsum dolor sit amet consectetur adipiscing elit,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.es,20,false,project-01,developer-01
module-10,RST-724,The quick brown fox jumps over the lazy dog. Lorem ipsum dolor sit amet consectetur adipiscing elit.,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.es,20,false,project-01,developer-01
module-11,RST-125,<button onclick="showAlert()">Alert</button>,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.es,20,false,project-01,developer-01
module-40,RST-129,OR 1=1,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.es,20,false,project-01,developer-01
module-12,RST-126,This is a test text,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.es,20,false,project-01,developer-01
module-13,QRS-678,This is a test text,INTERMEDIATE,2020/04/04 14:35,2020/04/19 14:54,https://example.es,20,false,project-01,developer-01
module-14,JKL-678,This is a test text,ADVANCED,2020/04/04 14:35,2020/04/19 14:54,https://example.es,20,false,project-01,developer-01
module-15,PQR-901,This is a test text,BASIC,2020/12/31 23:59,2020/04/19 14:54,https://example.es,20,false,project-01,developer-01
module-16,BCD-890,This is a test text,BASIC,2021/01/01 00:00,2020/04/19 14:54,https://example.es,20,false,project-01,developer-01
module-17,EFG-789,This is a test text,BASIC,2020/02/29 14:35,2020/04/19 14:54,https://example.es,20,false,project-01,developer-01
module-18,EFG-780,This is a test text,BASIC,2000/01/01 00:00,2020/04/19 14:54,https://example.es,20,false,project-01,developer-01
module-19,EFG-781,This is a test text,BASIC,2000/01/01 00:01,2020/04/19 14:54,https://example.es,20,false,project-01,developer-01
module-20,UVW-456,This is a test text,BASIC,2022/07/29 23:59,2020/04/04 14:35,https://example.es,20,false,project-01,developer-01
module-21,ABC-124,This is a test text,BASIC,2022/07/30 00:00,2020/04/04 14:35,https://example.es,20,false,project-01,developer-01
module-22,UVW-458,This is a test text,BASIC,2020/04/04 14:35,2020/12/31 23:59,https://example.es,20,false,project-01,developer-01
module-23,ABC-127,This is a test text,BASIC,2020/04/04 14:35,2021/01/01 00:00,https://example.es,20,false,project-01,developer-01
module-24,VWX-567,This is a test text,BASIC,2020/04/04 14:35,2020/02/29 14:35,https://example.es,20,false,project-01,developer-01
module-25,LMN-012,This is a test text,BASIC,2020/04/04 14:35,2000/01/01 00:00,https://example.es,20,false,project-01,developer-01
module-26,LMN-013,This is a test text,BASIC,2020/04/04 14:35,2000/01/01 00:01,https://example.es,20,false,project-01,developer-01
module-27,LMN-014,This is a test text,BASIC,2020/04/04 14:35,2022/07/29 23:59,https://example.es,20,false,project-01,developer-01
module-28,LMN-015,This is a test text,BASIC,2020/04/04 14:35,2020/07/30 00:00,https://example.es,20,false,project-01,developer-01
module-29,STU-234,This is a test text,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://examp?le.es,20,false,project-01,developer-01
module-41,STF-234,This is a test text,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.es/training/user?id=1234,20,false,project-01,developer-01
module-42,STX-234,This is a test text,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.es/training/user?,20,false,project-01,developer-01
module-30,IJK-567,This is a test text,BASIC,2020/04/04 14:35,2020/04/19 14:54,,20,false,project-01,developer-01
module-31,MNO-890,This is a test text,BASIC,2020/04/04 14:35,2020/04/19 14:54,http://x.com,20,false,project-01,developer-01
module-32,MNO-891,This is a test text,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.com/abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz,20,false,project-01,developer-01
module-33,MNO-898,This is a test text,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.com/abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyza,20,false,project-01,developer-01
module-34,XYZ-125,This is a test text,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.es,1,false,project-01,developer-01
module-35,DEF-782,This is a test text,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.es,2,true,project-01,developer-02
module-36,DEF-701,This is a test text,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.es,9999,true,project-01,developer-02
module-37,DEF-772,This is a test text,BASIC,2020/04/04 14:35,2020/04/19 14:54,https://example.es,10000,true,project-01,developer-02
